oblast;raion;hromada;level;started_at;finished_at
Vinnytska oblast;;;oblast;15.03.2022 20:10;15.03.2022 20:50
Zhytomyrska oblast;;;oblast;15.03.2022 20:11;15.03.2022 20:54
Cherkaska oblast;Umanskyi raion;Umanska terytorialna hromada;hromada;15.03.2022 20:11;15.03.2022 20:54
Mykolaivska oblast;Pervomaiskyi raion;m. Pervomaisk ta Pervomaiska terytorialna hromada;hromada;15.03.2022 20:14;15.03.2022 20:57
Kirovohradska oblast;;;oblast;15.03.2022 20:15;15.03.2022 20:54
Khmelnytska oblast;Khmelnytskyi raion;m. Starokostiantyniv ta Starokostiantynivska terytorialna hromada;hromada;15.03.2022 20:16;15.03.2022 21:21
Kyivska oblast;Bilotserkivskyi raion;Skvyrska terytorialna hromada;hromada;15.03.2022 20:17;15.03.2022 20:55
Ivano-Frankivska oblast;;;oblast;15.03.2022 20:17;15.03.2022 21:14
Lvivska oblast;;;oblast;15.03.2022 20:17;15.03.2022 21:16
Rivnenska oblast;;;oblast;15.03.2022 20:18;15.03.2022 21:13
Volynska oblast;;;oblast;15.03.2022 20:19;15.03.2022 21:16
Kyiv;;;oblast;15.03.2022 20:19;15.03.2022 22:52
Ternopilska oblast;;;oblast;15.03.2022 20:22;15.03.2022 21:18
Kyivska oblast;Bilotserkivskyi raion;m. Bila Tserkva ta Bilotserkivska terytorialna hromada;hromada;15.03.2022 20:26;15.03.2022 20:55
Kyivska oblast;Obukhivskyi raion;m. Vasylkiv ta Vasylkivska terytorialna hromada;hromada;15.03.2022 20:26;15.03.2022 23:12
Chernihivska oblast;;;oblast;15.03.2022 20:30;15.03.2022 21:02
Kyivska oblast;Bilotserkivskyi raion;Hrebinkivska terytorialna hromada;hromada;15.03.2022 20:46;15.03.2022 20:58
Poltavska oblast;Lubenskyi raion;Hrebinkivska terytorialna hromada;hromada;15.03.2022 20:46;15.03.2022 20:58
Poltavska oblast;Lubenskyi raion;m. Pyriatyn ta Pyriatynska terytorialna hromada;hromada;15.03.2022 20:46;15.03.2022 20:58
Vinnytska oblast;;;oblast;15.03.2022 20:52;15.03.2022 21:24
Chernihivska oblast;Nizhynskyi raion;;raion;15.03.2022 20:54;15.03.2022 21:02
Chernihivska oblast;Prylutskyi raion;;raion;15.03.2022 20:54;15.03.2022 21:02
Donetska oblast;Kramatorskyi raion;;raion;15.03.2022 21:14;15.03.2022 21:31
Donetska oblast;Bakhmutskyi raion;Toretska terytorialna hromada;hromada;15.03.2022 21:18;15.03.2022 21:42
Kyivska oblast;Vyshhorodskyi raion;Vyshhorodska terytorialna hromada;hromada;15.03.2022 21:43;15.03.2022 23:12
Cherkaska oblast;Umanskyi raion;Umanska terytorialna hromada;hromada;15.03.2022 22:04;15.03.2022 22:35
Cherkaska oblast;Umanskyi raion;Zhashkivska terytorialna hromada;hromada;15.03.2022 22:04;15.03.2022 22:35
Kyivska oblast;;;oblast;15.03.2022 22:06;15.03.2022 23:12
Zhytomyrska oblast;;;oblast;15.03.2022 22:08;15.03.2022 22:35
Vinnytska oblast;;;oblast;15.03.2022 22:09;15.03.2022 22:24
Kirovohradska oblast;;;oblast;15.03.2022 22:11;15.03.2022 22:35
Sumska oblast;Sumskyi raion;m. Sumy ta Sumska terytorialna hromada;hromada;15.03.2022 22:17;15.03.2022 23:00
Zhytomyrska oblast;Zhytomyrskyi raion;;raion;15.03.2022 22:41;16.03.2022 7:40
Donetska oblast;Bakhmutskyi raion;Toretska terytorialna hromada;hromada;15.03.2022 22:57;15.03.2022 23:45
Dnipropetrovska oblast;;;oblast;15.03.2022 23:23;15.03.2022 23:41
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;15.03.2022 23:23;15.03.2022 23:42
Sumska oblast;Sumskyi raion;m. Sumy ta Sumska terytorialna hromada;hromada;16.03.2022 1:45;16.03.2022 2:03
Kyiv;;;oblast;16.03.2022 3:33;16.03.2022 7:41
Zhytomyrska oblast;;;oblast;16.03.2022 3:34;16.03.2022 7:40
Kyivska oblast;Bilotserkivskyi raion;m. Bila Tserkva ta Bilotserkivska terytorialna hromada;hromada;16.03.2022 3:37;16.03.2022 9:35
Poltavska oblast;Lubenskyi raion;m. Lubny ta Lubenska terytorialna hromada;hromada;16.03.2022 3:38;16.03.2022 7:33
Volynska oblast;;;oblast;16.03.2022 3:43;16.03.2022 7:26
Kharkivska oblast;;;oblast;16.03.2022 3:47;16.03.2022 8:23
Dnipropetrovska oblast;Synelnykivskyi raion;;raion;16.03.2022 3:48;16.03.2022 8:17
Rivnenska oblast;;;oblast;16.03.2022 3:48;16.03.2022 7:51
Ternopilska oblast;;;oblast;16.03.2022 3:49;16.03.2022 7:32
Khmelnytska oblast;;;oblast;16.03.2022 3:57;16.03.2022 7:28
Kharkivska oblast;Iziumskyi raion;;raion;16.03.2022 4:07;16.03.2022 8:23
Poltavska oblast;Kremenchutskyi raion;m. Kremenchuk ta Kremenchutska terytorialna hromada;hromada;16.03.2022 4:12;16.03.2022 8:44
Dnipropetrovska oblast;Nikopolskyi raion;m. Nikopol ta Nikopolska terytorialna hromada;hromada;16.03.2022 4:16;16.03.2022 8:22
Mykolaivska oblast;Mykolaivskyi raion;m. Mykolaiv ta Mykolaivska terytorialna hromada;hromada;16.03.2022 4:17;16.03.2022 8:44
Cherkaska oblast;;;oblast;16.03.2022 4:50;16.03.2022 8:42
Dnipropetrovska oblast;;;oblast;16.03.2022 4:50;16.03.2022 8:17
Lvivska oblast;;;oblast;16.03.2022 4:50;16.03.2022 7:24
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;16.03.2022 4:51;16.03.2022 8:18
Kyivska oblast;;;oblast;16.03.2022 4:52;16.03.2022 9:34
Ivano-Frankivska oblast;;;oblast;16.03.2022 4:53;16.03.2022 7:27
Odeska oblast;;;oblast;16.03.2022 4:55;16.03.2022 6:35
Vinnytska oblast;;;oblast;16.03.2022 4:57;16.03.2022 7:21
Kirovohradska oblast;;;oblast;16.03.2022 4:57;16.03.2022 8:41
Poltavska oblast;Poltavskyi raion;m. Poltava ta Poltavska terytorialna hromada;hromada;16.03.2022 4:59;16.03.2022 8:22
Odeska oblast;Odeskyi raion;;raion;16.03.2022 7:41;16.03.2022 8:17
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;16.03.2022 7:42;16.03.2022 8:44
Kyiv;;;oblast;16.03.2022 8:12;16.03.2022 8:54
Kyiv;;;oblast;16.03.2022 9:31;16.03.2022 10:26
Kyivska oblast;Obukhivskyi raion;m. Vasylkiv ta Vasylkivska terytorialna hromada;hromada;16.03.2022 9:35;16.03.2022 10:30
Zhytomyrska oblast;;;oblast;16.03.2022 9:36;16.03.2022 10:27
Chernihivska oblast;;;oblast;16.03.2022 10:08;18.03.2022 8:45
Kyiv;;;oblast;16.03.2022 11:09;16.03.2022 14:44
Kyivska oblast;Obukhivskyi raion;m. Vasylkiv ta Vasylkivska terytorialna hromada;hromada;16.03.2022 11:11;16.03.2022 14:50
Kharkivska oblast;Kharkivskyi raion;;raion;16.03.2022 11:39;16.03.2022 11:48
Kharkivska oblast;;;oblast;16.03.2022 11:39;16.03.2022 11:48
Vinnytska oblast;;;oblast;16.03.2022 11:51;16.03.2022 13:04
Zhytomyrska oblast;;;oblast;16.03.2022 11:53;16.03.2022 14:44
Kyivska oblast;;;oblast;16.03.2022 11:54;16.03.2022 14:50
Sumska oblast;Shostkynskyi raion;m. Shostka ta Shostkynska terytorialna hromada;hromada;16.03.2022 12:10;16.03.2022 17:16
Khmelnytska oblast;Khmelnytskyi raion;m. Starokostiantyniv ta Starokostiantynivska terytorialna hromada;hromada;16.03.2022 12:46;16.03.2022 13:25
Khmelnytska oblast;Shepetivskyi raion;;raion;16.03.2022 12:47;16.03.2022 13:24
Odeska oblast;Odeskyi raion;;raion;16.03.2022 13:40;16.03.2022 14:22
Odeska oblast;;;oblast;16.03.2022 13:40;16.03.2022 14:21
Odeska oblast;Podilskyi raion;;raion;16.03.2022 13:42;16.03.2022 14:21
Odeska oblast;Berezivskyi raion;;raion;16.03.2022 13:42;16.03.2022 14:21
Odeska oblast;Izmailskyi raion;;raion;16.03.2022 13:42;16.03.2022 14:21
Odeska oblast;Bilhorod-Dnistrovskyi raion;;raion;16.03.2022 13:42;16.03.2022 14:22
Odeska oblast;Rozdilnianskyi raion;;raion;16.03.2022 13:42;16.03.2022 14:22
Odeska oblast;Bolhradskyi raion;;raion;16.03.2022 13:42;16.03.2022 14:22
Cherkaska oblast;Umanskyi raion;Umanska terytorialna hromada;hromada;16.03.2022 13:47;16.03.2022 14:45
Kirovohradska oblast;Kropyvnytskyi raion;;raion;16.03.2022 13:54;16.03.2022 14:50
Mykolaivska oblast;Voznesenskyi raion;m. Voznesensk ta Voznesenska terytorialna hromada;hromada;16.03.2022 14:05;16.03.2022 14:51
Mykolaivska oblast;Mykolaivskyi raion;m. Mykolaiv ta Mykolaivska terytorialna hromada;hromada;16.03.2022 14:05;16.03.2022 14:50
Vinnytska oblast;;;oblast;16.03.2022 14:08;16.03.2022 14:41
Zhytomyrska oblast;Korostenskyi raion;;raion;16.03.2022 14:08;16.03.2022 14:44
Cherkaska oblast;Cherkaskyi raion;Smilianska terytorialna hromada;hromada;16.03.2022 14:11;16.03.2022 14:45
Cherkaska oblast;Zvenyhorodskyi raion;m. Vatutine ta Vatutinska terytorialna hromada;hromada;16.03.2022 14:12;16.03.2022 14:45
Mykolaivska oblast;Pervomaiskyi raion;m. Pervomaisk ta Pervomaiska terytorialna hromada;hromada;16.03.2022 14:13;16.03.2022 14:50
Donetska oblast;Kramatorskyi raion;;raion;16.03.2022 15:28;16.03.2022 15:40
Kyiv;;;oblast;16.03.2022 15:33;16.03.2022 17:10
Cherkaska oblast;Cherkaskyi raion;m. Cherkasy ta Cherkaska terytorialna hromada;hromada;16.03.2022 15:35;16.03.2022 17:12
Dnipropetrovska oblast;Dniprovskyi raion;m. Dnipro ta Dniprovska terytorialna hromada;hromada;16.03.2022 15:37;16.03.2022 15:56
Kyivska oblast;Bilotserkivskyi raion;m. Bila Tserkva ta Bilotserkivska terytorialna hromada;hromada;16.03.2022 15:37;16.03.2022 17:15
Kyivska oblast;Obukhivskyi raion;Myronivska terytorialna hromada;hromada;16.03.2022 15:37;16.03.2022 17:15
Zaporizka oblast;Zaporizkyi raion;m. Zaporizhzhia ta Zaporizka terytorialna hromada;hromada;16.03.2022 15:40;16.03.2022 15:58
Kyivska oblast;Obukhivskyi raion;m. Vasylkiv ta Vasylkivska terytorialna hromada;hromada;16.03.2022 15:40;16.03.2022 17:15
Dnipropetrovska oblast;;;oblast;16.03.2022 15:41;16.03.2022 15:56
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;16.03.2022 15:43;16.03.2022 15:57
Poltavska oblast;Poltavskyi raion;m. Poltava ta Poltavska terytorialna hromada;hromada;16.03.2022 15:57;16.03.2022 16:22
Poltavska oblast;Myrhorodskyi raion;m. Myrhorod ta Myrhorodska terytorialna hromada;hromada;16.03.2022 15:57;16.03.2022 16:21
Zhytomyrska oblast;Zhytomyrskyi raion;;raion;16.03.2022 17:29;16.03.2022 18:28
Kyivska oblast;Bilotserkivskyi raion;m. Bila Tserkva ta Bilotserkivska terytorialna hromada;hromada;16.03.2022 17:33;16.03.2022 18:33
Kyivska oblast;Fastivskyi raion;m. Fastiv ta Fastivska terytorialna hromada;hromada;16.03.2022 17:33;16.03.2022 18:33
Zhytomyrska oblast;;;oblast;16.03.2022 17:33;16.03.2022 18:28
Kyivska oblast;Obukhivskyi raion;Myronivska terytorialna hromada;hromada;16.03.2022 17:42;16.03.2022 18:33
Kyivska oblast;Vyshhorodskyi raion;m. Slavutych ta Slavutytska terytorialna hromada;hromada;16.03.2022 17:49;16.03.2022 18:32
Khmelnytska oblast;Shepetivskyi raion;;raion;16.03.2022 17:58;16.03.2022 18:28
Khmelnytska oblast;Khmelnytskyi raion;m. Starokostiantyniv ta Starokostiantynivska terytorialna hromada;hromada;16.03.2022 17:58;16.03.2022 18:28
Rivnenska oblast;;;oblast;16.03.2022 18:01;16.03.2022 18:28
Volynska oblast;;;oblast;16.03.2022 18:03;16.03.2022 18:33
Ternopilska oblast;;;oblast;16.03.2022 18:07;16.03.2022 18:40
Khmelnytska oblast;;;oblast;16.03.2022 18:18;16.03.2022 18:28
Dnipropetrovska oblast;Synelnykivskyi raion;m. Pershotravensk ta Pershotravenska terytorialna hromada;hromada;16.03.2022 18:39;16.03.2022 19:22
Kharkivska oblast;Iziumskyi raion;;raion;16.03.2022 18:50;16.03.2022 19:41
Kharkivska oblast;Kharkivskyi raion;;raion;16.03.2022 18:50;16.03.2022 19:41
Donetska oblast;Kramatorskyi raion;;raion;16.03.2022 18:51;16.03.2022 19:08
Zhytomyrska oblast;;;oblast;16.03.2022 19:32;16.03.2022 21:23
Kyivska oblast;Buchanskyi raion;Makarivska terytorialna hromada;hromada;16.03.2022 19:35;17.03.2022 1:05
Kyiv;;;oblast;16.03.2022 19:47;16.03.2022 21:24
Vinnytska oblast;;;oblast;16.03.2022 19:49;16.03.2022 20:10
Cherkaska oblast;Umanskyi raion;Zhashkivska terytorialna hromada;hromada;16.03.2022 19:51;16.03.2022 21:23
Kyivska oblast;Bilotserkivskyi raion;m. Bila Tserkva ta Bilotserkivska terytorialna hromada;hromada;16.03.2022 19:52;17.03.2022 1:04
Kyivska oblast;Obukhivskyi raion;m. Vasylkiv ta Vasylkivska terytorialna hromada;hromada;16.03.2022 19:52;17.03.2022 1:05
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;16.03.2022 20:12;16.03.2022 20:33
Cherkaska oblast;Umanskyi raion;Umanska terytorialna hromada;hromada;16.03.2022 21:12;16.03.2022 21:23
Kyivska oblast;Boryspilskyi raion;m. Boryspil ta Boryspilska terytorialna hromada;hromada;16.03.2022 21:19;17.03.2022 1:05
Kyivska oblast;Brovarskyi raion;m. Brovary ta Brovarska terytorialna hromada;hromada;16.03.2022 21:19;17.03.2022 1:05
Zhytomyrska oblast;;;oblast;16.03.2022 21:33;16.03.2022 21:57
Rivnenska oblast;Varaskyi raion;;raion;16.03.2022 21:41;16.03.2022 21:57
Rivnenska oblast;Sarnenskyi raion;;raion;16.03.2022 21:41;16.03.2022 21:57
Poltavska oblast;Lubenskyi raion;m. Pyriatyn ta Pyriatynska terytorialna hromada;hromada;16.03.2022 21:41;17.03.2022 6:11
Rivnenska oblast;Sarnenskyi raion;Dubrovytska terytorialna hromada;hromada;16.03.2022 21:46;16.03.2022 21:57
Khmelnytska oblast;Khmelnytskyi raion;m. Starokostiantyniv ta Starokostiantynivska terytorialna hromada;hromada;16.03.2022 22:22;16.03.2022 22:30
Sumska oblast;Sumskyi raion;;raion;16.03.2022 23:15;17.03.2022 0:38
Sumska oblast;Okhtyrskyi raion;;raion;16.03.2022 23:15;17.03.2022 0:38
Sumska oblast;Sumskyi raion;m. Sumy ta Sumska terytorialna hromada;hromada;16.03.2022 23:15;17.03.2022 0:37
Kharkivska oblast;;;oblast;16.03.2022 23:50;17.03.2022 1:49
Khmelnytska oblast;Khmelnytskyi raion;m. Starokostiantyniv ta Starokostiantynivska terytorialna hromada;hromada;17.03.2022 0:04;17.03.2022 0:37
Rivnenska oblast;;;oblast;17.03.2022 0:04;17.03.2022 0:34
Ternopilska oblast;;;oblast;17.03.2022 0:06;17.03.2022 0:38
Volynska oblast;;;oblast;17.03.2022 0:07;17.03.2022 0:36
Zhytomyrska oblast;;;oblast;17.03.2022 0:21;17.03.2022 1:01
Kyiv;;;oblast;17.03.2022 0:31;17.03.2022 1:00
Kirovohradska oblast;Kropyvnytskyi raion;;raion;17.03.2022 0:35;17.03.2022 1:01
Dnipropetrovska oblast;;;oblast;17.03.2022 0:36;17.03.2022 1:15
Kyivska oblast;;;oblast;17.03.2022 0:36;17.03.2022 1:04
Dnipropetrovska oblast;Kryvorizkyi raion;m. Kryvyi Rih ta Kryvorizka terytorialna hromada;hromada;17.03.2022 0:36;17.03.2022 1:17
Sumska oblast;Konotopskyi raion;m. Konotop ta Konotopska terytorialna hromada;hromada;17.03.2022 0:38;17.03.2022 1:07
Zaporizka oblast;;;oblast;17.03.2022 0:42;17.03.2022 1:15
